lcm_timestamp,sensor_timestamp,depth,pressure
1699643598089218,1699643598089213,545.563,-1.0
1699643598234319,1699643598234313,545.613,-1.0
1699643598383349,1699643598383326,545.624,-1.0
1699643598538260,1699643598538254,545.627,-1.0
1699643598685675,1699643598685669,545.625,-1.0
1699643598835090,1699643598835085,545.615,-1.0
1699643598982479,1699643598982476,545.609,-1.0
1699643599134084,1699643599134081,545.611,-1.0
1699643599279988,1699643599279980,545.607,-1.0
1699643599430860,1699643599430856,545.605,-1.0
1699643599581300,1699643599581292,545.608,-1.0
1699643599727347,1699643599727341,545.559,-1.0
1699643599874771,1699643599874765,545.474,-1.0
1699643600026784,1699643600026779,545.464,-1.0
1699643600173180,1699643600173171,545.469,-1.0
1699643600323763,1699643600323759,545.47,-1.0
1699643600475720,1699643600475713,545.464,-1.0
1699643600622085,1699643600622082,545.467,-1.0
1699643600772939,1699643600772844,545.471,-1.0
1699643600924183,1699643600924170,545.471,-1.0
1699643601070228,1699643601070220,545.473,-1.0
1699643601223045,1699643601222989,545.476,-1.0
1699643601368335,1699643601368318,545.476,-1.0
1699643601520558,1699643601520549,545.466,-1.0
1699643601667676,1699643601667652,545.467,-1.0
1699643601819748,1699643601819706,545.467,-1.0
1699643601972249,1699643601972209,545.457,-1.0
1699643602116837,1699643602116826,545.462,-1.0
1699643602266783,1699643602266775,545.465,-1.0
1699643602415182,1699643602415153,545.467,-1.0
1699643602566187,1699643602566120,545.463,-1.0
1699643602713504,1699643602713495,545.469,-1.0
1699643602863441,1699643602863422,545.462,-1.0
1699643603018057,1699643603018047,545.459,-1.0
1699643603162033,1699643603162019,545.46,-1.0
1699643603313287,1699643603313281,545.471,-1.0
1699643603458943,1699643603458932,545.468,-1.0
1699643603610904,1699643603610862,545.466,-1.0
1699643603761339,1699643603761316,545.462,-1.0
1699643603908259,1699643603908244,545.463,-1.0
1699643604061616,1699643604061586,545.467,-1.0
1699643604206302,1699643604206159,545.47,-1.0
1699643604357584,1699643604357573,545.464,-1.0
1699643604507822,1699643604507810,545.466,-1.0
1699643604656381,1699643604656352,545.47,-1.0
1699643604808342,1699643604808236,545.476,-1.0
1699643604954533,1699643604954522,545.483,-1.0
1699643605104708,1699643605104697,545.486,-1.0
1699643605256163,1699643605256151,545.489,-1.0
1699643605402293,1699643605402282,545.494,-1.0
1699643605553553,1699643605553536,545.492,-1.0
1699643605701139,1699643605701127,545.496,-1.0
1699643605852180,1699643605852149,545.503,-1.0
1699643606002614,1699643606002595,545.505,-1.0
1699643606155166,1699643606155136,545.498,-1.0
1699643606303912,1699643606303855,545.501,-1.0
1699643606454652,1699643606454641,545.505,-1.0
1699643606602558,1699643606602539,545.5,-1.0
1699643606756014,1699643606756002,545.501,-1.0
1699643606901599,1699643606901587,545.498,-1.0
